ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
46,ALTRIA GROUP; INC.,312230,n.a.,9244000,1797000,9440000,9715000,8861000,8402000,7622000,8106000,7194000,n.a.,4467000,-1293000,6963000,10222000,14239000,5241000,5070000,4535000,4180000,n.a.,47414000,49271000,55459000,43202000,45932000,31459000,34475000,34859000,35329000,n.a.,4945000,2117000,1333000,1253000,4569000,2369000,3321000,3175000,2900000,n.a.,9063000,8174000,21193000,6792000,7375000,7070000,7673000,7058000,8259000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-185000,-182000,-189000,-188000,-183000,-204000,-188000,-192000,-205000
47,AMGEN INCORPORATED,325414,n.a.,9139000,9721000,10305000,10056000,9899000,8610000,6568000,6165000,5816000,n.a.,7264000,7842000,8394000,1979000,7722000,6939000,5158000,5081000,4345000,n.a.,62948000,59707000,66416000,79954000,77626000,71449000,69009000,66125000,54298000,n.a.,10647000,8911000,29304000,41678000,38085000,31382000,27026000,19401000,24061000,n.a.,11653000,12835000,13488000,9020000,11204000,8664000,7008000,7947000,8191000,n.a.,828000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-801000,-806000,-646000,-655000,-619000,-727000,-716000,-644000,-689000
48,GILEAD SCIENCES INC,325414,n.a.,4071000,4459000,8372000,14394000,18465000,22189000,15382000,4591786,4010175,n.a.,123000,5386000,5455000,4628000,13501000,18108000,12101000,3074808,2591566,n.a.,68407000,61627000,63675000,70283000,56977000,51716000,34664000,22579000,21239838,n.a.,7408000,24352000,30089000,25510000,11895000,14608000,10128000,2132000,1862250,n.a.,11397000,9759000,10605000,11635000,9218000,9890000,5761000,6407000,4237897,n.a.,598000,287000,190000,713000,n.a.,n.a.,105000,11000,13403,n.a.,-288000,-255000,-226000,-233000,-177000,-161000,-125000,-102644,-82847
49,ELI LILLY AND COMPANY,325412,n.a.,6209200,5052100,3662300,2604300,3585500,2830400,2659800,5370400,4808700,n.a.,6193700,8318400,3232000,-204100,2737600,2408400,2390500,4684800,4088600,n.a.,46633100,39286100,43908400,44981000,38805900,35568900,36307600,35248700,34398900,n.a.,3681300,2438500,7408900,8034100,6038600,4451800,4827000,5397300,5684300,n.a.,12481600,11775200,11888100,14535900,10986600,8229600,9741000,8916600,8389500,n.a.,495100,160600,393400,532900,119100,358900,93500,1047200,1191500,n.a.,-895700,-1006800,-1247700,-1105100,-808700,-795900,-843100,-774800,-754000
50,APPLIED MATERIALS INC,333242,7200000,4365000,3364000,4503000,3899000,2088000,1510000,1478000,471000,555000,5888000,3619000,2706000,3038000,3519000,1721000,1377000,1072000,256000,109000,25825000,22353000,19024000,17633000,19419000,14570000,15308000,13174000,12043000,12102000,5459000,5738000,3618000,4030000,7276000,3749000,4965000,3162000,1891000,1937000,6344000,4459000,4447000,3922000,4115000,3632000,3798000,2823000,2443000,2265000,734000,222000,160000,136000,112000,101000,60000,142000,73000,74000,-345000,-320000,-306000,-258000,-214000,-200000,-185000,-351000,-211000,-198000
51,DANAHER CORP,334513,n.a.,4231000,3269000,3055000,2572300,2887600,2259700,2147300,3221200,3217900,n.a.,3510000,2940000,2651000,2492100,2553700,3357400,2598400,2695000,2392200,n.a.,76161000,62081600,47832500,46648600,45295300,48222200,36991700,34672200,32941000,n.a.,6035000,19912300,787800,630300,963700,790800,3005600,3115200,1678700,n.a.,7402000,4932100,4841500,4792300,6874000,6170400,5396400,4527400,4206100,n.a.,552000,244800,292400,386400,293900,381200,n.a.,224900,194500,n.a.,-637000,-564400,-601500,-577800,-545000,-484000,-448900,-511700,-497800
52,SALESFORCE.COM; INC.,541511,n.a.,455000,463000,562000,454000,218000,111287,-145633,-286074,-110710,n.a.,4072000,126000,1110000,360000,323000,-47426,-262688,-232175,-270445,n.a.,66301000,55126000,30737000,21984000,17584923,12762920,10665127,9152930,5528956,n.a.,11966000,7947000,4342000,4521000,2208887,2725377,995429,838774,867621,n.a.,17728000,14845000,11255000,10067000,7295466,5617005,4390103,3980188,2917624,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1722000,-1433000,-515000,-466000,-406000,-302000,-246600,-185900,-205873
53,INTERNATIONAL PAPER CO,322130,n.a.,1207000,2424000,2959000,2384000,1467000,2124000,2360000,1985000,1785000,n.a.,482000,1225000,2012000,2144000,904000,938000,555000,1395000,794000,n.a.,31718000,33471000,33576000,33903000,33093000,30531000,28684000,31528000,32153000,n.a.,5445000,511000,589000,1018000,1033000,1050000,1881000,1802000,1302000,n.a.,8284000,8646000,4694000,5102000,4069000,3924000,4909000,5127000,4998000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1227000,-1248000,-1269000,-1346000,-1070000,-1107000,-1333000,-1452000,-1419000
54,DUPONT DE NEMOURS; INC.,325411,n.a.,-1558000,1590000,2233000,-557000,6886000,10784000,n.a.,n.a.,n.a.,n.a.,-2951000,498000,3845000,1159000,3978000,7345000,n.a.,n.a.,n.a.,n.a.,70904000,69349000,187855000,192164000,79511000,157634000,n.a.,n.a.,n.a.,n.a.,2544000,1540000,8577000,14394000,6607000,12806000,n.a.,n.a.,n.a.,n.a.,12226000,8346000,73312000,26128000,12604000,21133000,n.a.,n.a.,n.a.,n.a.,169000,240000,115000,843000,600000,662000,n.a.,n.a.,n.a.,n.a.,-975000,-1016000,-1126000,-3464000,-2245000,-2030000,n.a.,n.a.,n.a.
55,BECTON; DICKINSON AND COMPANY,339112,3018000,1773000,2190000,2119000,1866000,2119000,1456000,1606000,1255000,1557885,2002000,767000,1081000,159000,1030000,977000,695000,1185000,1294000,1169927,53866000,54012000,51765000,53904000,37734000,25586000,26478000,12447000,12149000,11360909,2295000,2845000,566000,1157000,14200000,1568000,1444000,2745000,2608000,2180731,6626000,5836000,5655000,7216000,3342000,4400000,4381000,2234000,2130000,1978055,176000,144000,140000,343000,176000,n.a.,n.a.,26000,19000,3882,-870000,-770000,-756000,-723000,-535000,-562000,-545000,-478000,-463000,-321294
