ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
889,LAKELAND INDUSTRIES INC,315220,n.a.,43853,5876,3565,8477,6847,11812,6961,-359,-10984,n.a.,35106,3281,1459,440,3893,3854,8399,-120,-26289,n.a.,139925,99405,94723,94531,84554,88260,93208,80483,83318,n.a.,52596,14606,12831,15788,10365,7022,6709,4555,6737,n.a.,15394,12939,10334,10379,12325,19958,26222,26835,27902,n.a.,1534,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2000,-1645,-965,-775,-1194,-885,-753,-1198,-1315
890,KVH INDUSTRIES INC,334290,n.a.,-22937,-21096,-10646,-8764,-1322,3208,1922,6169,6570,n.a.,-21940,33255,-8232,-11034,-7517,2253,41,4533,3581,n.a.,183591,199391,187652,196239,199757,226277,235837,183849,137568,n.a.,37719,48272,15237,42915,52134,45338,49802,55744,38285,n.a.,40788,38390,56010,43349,39643,43559,47687,29459,21310,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-10659,-8798,-7026,-6725,-7608,-7193,-6127,-4815,-4216
891,EMCORE CORP,334413,18981,-7034,-36146,-18166,7696,340,-5367,-20331,-16735,-38056,25643,-7000,-35984,-17453,8235,8266,63100,4852,4988,-39171,180813,126241,109562,129266,144084,127211,160907,191342,173714,169866,71621,30390,21574,63117,68333,63905,111885,20687,16104,9047,27820,29053,30719,20570,21643,18259,23691,72977,63101,91435,104,1265,1135,961,2920,944,1038,1433,1345,1573,-4061,-5484,-7142,-5617,-3757,-2506,-2952,-8518,-8688,-7775
892,KASPIEN HOLDINGS INC,541511,n.a.,-5725,-14996,-96806,-51401,-3868,4570,3775,10375,36300,n.a.,-3892,-58744,-97382,-42553,3211,2689,1778,8277,33734,n.a.,45292,97806,138013,248171,307810,271605,280009,312417,315240,n.a.,1809,2977,4355,31326,27974,104311,118537,131002,132982,n.a.,20028,71061,49416,61282,70733,69845,81714,96656,108627,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1111,-3330,-5226,-10272,-8139,-5191,-4388,-4304,-4437
893,AGROFRESH SOLUTIONS; INC.,325320,n.a.,9603,-30924,8044,40783,-36854,-13272,69260,52602,n.a.,n.a.,-64199,-53591,-30060,23471,-111560,-28494,27857,27456,n.a.,n.a.,785783,805692,899287,983263,965844,1082674,337506,144,n.a.,n.a.,50030,29288,34852,64533,77312,57765,n.a.,25,n.a.,n.a.,52459,49778,64104,94680,96870,67570,69170,119,n.a.,n.a.,3471,5648,4815,5931,3121,1801,0,n.a.,n.a.,n.a.,-3239,-2337,-1647,-2446,-2523,-743,-737,-1018,n.a.
894,RENT THE RUNWAY; INC.,315210,n.a.,-130500,-130000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-171100,-153900,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,320700,275900,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,95300,31400,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,40600,51700,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1000,1900,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-107400,-92200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
895,CHINA MARINE FOOD GROUP LIMITED,311710,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3248,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4485,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,146221,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,880,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,19526,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,321,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3328
896,BIODELIVERY SCIENCES INTERNATIONAL; INC,325412,n.a.,32979,3736,-23648,-29420,-63935,-35179,-38740,-56402,7062,n.a.,25711,-15305,-46367,5285,-67138,-37672,-54218,-57394,1652,n.a.,239894,182905,108533,88101,51720,102772,88840,38005,75739,n.a.,111584,63888,43822,21195,32019,83560,70472,23176,63189,n.a.,52995,53993,21539,26149,19288,28083,29201,24992,23243,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-538,-1846,-740,-700,-437,-329,-123,-207,-466
897,SUMMER INFANT; INC.,339930,n.a.,4893,1802,-373,2891,-2814,-8742,2683,-134,-68273,n.a.,-1102,-4164,-4251,-2249,-4322,-8651,-245,-2815,-65653,n.a.,74737,91543,94216,98030,101737,113138,122467,115367,140320,n.a.,510,395,721,681,999,923,1272,1573,3132,n.a.,38524,36055,37934,37710,42941,42443,32147,33692,37908,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2847,-2982,-3436,-3430,-4304,-4142,-4425,-5145,-6456
898,REGENXBIO INC.,541715,n.a.,-119233,-148998,88100,-75885,-65340,-23137,-3682,-4776,n.a.,n.a.,-111250,-94733,99937,-73169,-62967,-22052,-4003,-5387,n.a.,n.a.,708164,497908,543814,198677,172732,221380,3491,2510,n.a.,n.a.,475740,296210,319761,160778,89554,114141,1121,1119,n.a.,n.a.,81447,33676,22176,14437,9669,4339,9189,4653,n.a.,n.a.,3135,0,726,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-8407,-7200,-3982,-2686,-544,-80,0,0,n.a.
899,SEASPINE HOLDINGS CORPORATION,339113,n.a.,-43426,-39222,-33139,-32663,-43500,-52176,-20349,-17446,-20078,n.a.,-43181,-39276,-33524,-32115,-43212,-55532,-24545,-25746,-30424,n.a.,214401,141718,172342,134474,147165,176389,139642,153493,n.a.,n.a.,76813,20199,54033,10788,14566,33429,652,646,n.a.,n.a.,30727,30478,26546,23157,24418,26035,45952,38441,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,608,101,n.a.,n.a.,-6556,-4978,-4227,-4103,-4549,-7114,-9093,-10396,-10617
900,ACORDA THERAPEUTICS; INC.,325414,n.a.,-78076,-311632,38486,-232814,-35982,33990,36391,30365,25602,n.a.,-99594,-272966,33682,-223359,-34618,11058,17672,16441,154958,n.a.,632680,799718,1299666,1197969,1342335,1111294,1065065,607127,565332,n.a.,71369,125839,445553,307068,158537,353305,307618,273928,233825,n.a.,137252,86385,140256,143960,147901,90592,114383,96643,98871,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-10200,-8400,-9079,-11000,-12482,-11912,-5173,-4600,-2700
901,NEKTAR THERAPEUTICS,325412,n.a.,-399611,-440035,687932,-59642,-112855,-29371,-16485,-120130,-141201,n.a.,-444440,-440667,681313,-96692,-153524,-81177,-53916,-162013,-171855,n.a.,1538767,1977356,2150172,508866,568871,498642,441621,434527,497790,n.a.,1061896,1324862,1335350,296132,389102,308944,237824,237026,277194,n.a.,115779,353893,82002,56163,72222,61246,64047,98221,78537,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-14182,-13156,-10870,-14741,-15351,-12855,-12927,-14275,-14508
902,VIRCO MFG. CORPORATION,337127,n.a.,735,5915,2331,5140,5944,5948,2659,-23,-1723,n.a.,-2232,2382,-1614,-3209,22760,4549,849,-1730,-3830,n.a.,125036,138992,123113,116623,108187,89435,81811,83344,82238,n.a.,402,1150,738,534,788,815,470,1051,853,n.a.,22106,25118,32125,27723,21585,22778,21405,22656,24511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,572,n.a.,-5090,-5769,-5791,-5466,-5026,-4757,-4408,-4209,-4368
903,ROOSHINE INC,312140,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
904,MANNATECH INC,325411,n.a.,4491,6433,-90,2519,661,12144,12742,4756,-980,n.a.,6261,3289,-3886,-1787,-586,5839,6496,3174,-1388,n.a.,65336,62923,62198,76242,71188,68642,67398,56061,48122,n.a.,22207,24762,21845,37682,28687,31994,27999,20395,14377,n.a.,31987,28892,33614,33445,29981,26379,33008,30058,24783,n.a.,1400,2187,2655,2404,1040,820,2701,1972,4080,n.a.,-1990,-2088,-2064,-1864,-1898,-1793,-1608,-2120,-4755
905,RCM TECHNOLOGIES INC,541330,n.a.,-10950,6567,6986,1727,5398,7851,10622,7736,5228,n.a.,-8869,4058,2715,2010,1758,6015,6814,1990,3227,n.a.,68339,96173,81510,73279,69831,81336,87273,86524,84548,n.a.,734,1847,482,2851,279,985,6411,9317,14123,n.a.,28741,21408,23188,22188,23713,26629,23633,24739,25063,n.a.,436,130,97,372,537,343,1020,536,192,n.a.,-1065,-1261,-1442,-1691,-1489,-1386,-1107,-995,-1193
906,ANTARES PHARMA INC,339112,n.a.,13619,992,-16601,-16451,-24116,-20462,-35113,-20850,-11451,n.a.,56201,-2027,-6515,-16743,-24339,-20659,-35152,-20507,-11427,n.a.,212531,132751,88277,74338,66325,84562,68773,88932,95527,n.a.,53137,45721,27892,31555,27715,47911,40031,63082,73210,n.a.,63205,32415,27193,15733,19907,16820,24228,16363,7938,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2341,-2205,-2125,-1536,-1326,-1034,-880,-424,-146
907,TATTOOED CHEF; INC.,311999,n.a.,-8885,-1105,-385,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,67249,2350,1077,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,266683,206606,203570,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,131579,1287,1762,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,30349,1131,387,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,631,223,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1427,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
908,IPIC ENTERTAINMENT INC.,722410,n.a.,n.a.,n.a.,-37818,-28351,-23418,-16777,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-23199,-44524,-34223,-24729,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,158724,162073,177448,141421,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6026,10505,4653,8182,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,29607,37497,29958,28105,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,958,1232,2435,2044,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-18300,-19686,-16019,-11819,n.a.,n.a.,n.a.
909,CUTERA; INC.,334517,n.a.,-22828,-12064,-13392,7076,2397,-4521,-10619,-5256,-6827,n.a.,-23877,-12348,-30770,29993,2577,-4440,-10612,-4747,-6548,n.a.,132733,113738,97637,111238,91854,77518,108913,108669,112794,n.a.,47047,33921,35575,35912,54074,48407,81146,83073,85572,n.a.,54358,58622,47620,43311,28389,24431,22988,18642,18218,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1394,-1548,-1209,-1014,-841,-734,-563,-602,-436
910,HUDSON TECHNOLOGIES INC,333415,n.a.,5904,-15784,-42608,15132,18947,8181,-822,-8485,14880,n.a.,-5208,-25940,-55659,11157,10637,4763,-720,-5842,12801,n.a.,161649,180153,228341,321444,122470,85011,59935,52368,57232,n.a.,1348,2600,2272,5002,33931,1258,935,669,3991,n.a.,37769,46126,60412,95360,10301,30960,11214,19611,19616,n.a.,n.a.,n.a.,n.a.,0,322,n.a.,n.a.,n.a.,n.a.,n.a.,-3234,-4200,-4200,-2300,-1725,-1560,-979,-808,-556
911,ATRION CORP,339115,n.a.,35668,40529,41707,41274,39126,42510,40817,37944,33626,n.a.,32115,36761,34255,36593,27581,28925,27808,26582,23629,n.a.,266890,262031,231216,203780,181942,164336,171514,172066,155810,n.a.,41708,68814,68437,65604,44102,28390,23859,46910,16181,n.a.,13636,11274,10220,9622,9073,9316,9936,9364,7208,n.a.,436,419,619,746,410,329,457,853,465,n.a.,-11533,-10734,-9004,-8526,-8689,-8478,-8454,-8413,-7448
912,KEWAUNEE SCIENTIFIC CORP,337127,-1316,-2345,2112,9919,6542,5698,5226,5964,5277,2828,-3672,-4687,1529,5281,4515,3802,3529,3895,3044,1031,89384,83929,87223,85083,80916,72405,69490,62717,68742,63361,5206,4365,10647,9716,12506,5222,3044,6248,5811,6188,34181,27060,32733,27616,26927,20950,21055,16163,22115,19465,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2687,-2654,-2571,-2761,-2702,-2592,-2615,-2549,-2653,-2664
913,CASTLIGHT HEALTH; INC.,541511,n.a.,-62786,-41338,-39894,-57726,-59118,-80218,-86158,-62339,-35133,n.a.,-62183,-40002,-39706,-51902,-58686,-79920,-85940,-62182,-35004,n.a.,166773,242784,253514,279883,157166,173274,223274,83517,128148,n.a.,49242,59428,77332,93344,114604,120424,192482,67171,120146,n.a.,34313,54907,51178,57011,48723,46001,40171,22523,10257,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2300,-1900,-2800,-3000,-3200,-2024,-1354,-633,-231
914,AMERICAN ORIENTAL BIOENGINEERING INC.,325412,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-86331,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-59713,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,446309,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,7097,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,106212,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,11779,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-12029
915,ALPHATEC HOLDINGS; INC.,339113,n.a.,-46088,-38667,-19994,-6489,-13085,-175257,1485,-17786,-9837,n.a.,-78994,-57002,-42463,-2294,-29925,-178676,-12882,-82227,-15459,n.a.,261223,169948,129477,84660,94188,146341,344923,365630,382127,n.a.,107765,47113,29054,22466,19593,6295,19735,21345,22241,n.a.,58312,36390,30612,29742,40135,125037,63601,79719,56788,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-9200,-6878,-6000,-6600,-10756,-16063,-16137,-14677,-14200
916,ATHENEX; INC.,325412,n.a.,-123723,-119532,-126818,-109988,-85747,-50708,-17711,n.a.,n.a.,n.a.,-146179,-123749,-117440,-131170,-87715,-50600,-17728,n.a.,n.a.,n.a.,384329,309932,231095,140413,105890,120431,35697,n.a.,n.a.,n.a.,208223,160813,107423,51037,41753,55766,27990,n.a.,n.a.,n.a.,62141,71528,51676,45143,28019,17616,5908,n.a.,n.a.,n.a.,1948,187,n.a.,357,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2692,-2000,-1700,-2100,-1226,-500,-100,n.a.,n.a.
917,ONE GROUP HOSPITALITY; INC. (THE),722511,n.a.,-3326,4914,5844,1065,-4577,-7638,2423,-710,8013,n.a.,-12825,20831,3274,-4216,-16688,6931,4630,-21469,-2346,n.a.,215569,206585,55979,53015,52144,56046,41362,35197,23987,n.a.,24385,12344,1592,1548,918,1842,7905,11681,1044,n.a.,40747,28133,17820,16927,13188,11150,7166,10487,15786,n.a.,0,547,685,610,144,0,n.a.,n.a.,n.a.,n.a.,-9214,-5404,-2824,-3051,-2647,-2191,-1439,-1457,-7458
918,CLEARFIELD; INC.,335921,25234,8384,5188,5071,5312,10732,7051,8518,7445,4275,20327,7293,4566,4275,3848,8013,4682,5433,4734,7701,125911,95297,81889,74229,69494,70595,57628,51848,46413,37740,23590,27032,23606,17478,24473,33541,25996,24823,15800,14785,20471,10415,6607,4981,4243,7346,5037,5101,6314,3017,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1699,-1944,-1706,-1749,-1622,-1449,-1216,-700,-476,-404
919,IMPINJ; INC.,333318,n.a.,-47071,-21661,-31120,-17019,-488,1601,456,2516,-7711,n.a.,-51923,-22987,-35231,-17322,-7931,-10401,-11004,2085,-18578,n.a.,207616,215046,145069,152034,167536,52848,33817,n.a.,n.a.,n.a.,106089,116495,56073,58116,100541,10121,6939,n.a.,n.a.,n.a.,27593,19497,23025,19923,25381,17474,14111,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4504,-4809,-4534,-3950,-2869,-1972,-1366,n.a.,n.a.
920,ARROWHEAD PHARMACEUTICALS; INC.,325412,-149036,-93159,61191,-55936,-36996,-81743,-95974,-53276,-24589,-22732,-140848,-84553,67975,-54450,-34380,-81723,-91941,-58630,-31143,-21126,710148,522504,349845,111610,104022,128177,132268,182817,37330,16528,367789,315492,258704,76533,65608,85366,98754,154164,28145,3484,146536,40681,97071,12365,18701,25644,15901,11847,8725,5328,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-6600,-4243,-2739,-2999,-2990,-1546,-1290,-1291,-1515,-1749
921,FLUIDIGM CORPORATION,334516,n.a.,-51036,-51839,-48164,-58360,-73190,-54141,-41140,-17386,-18071,n.a.,-53020,-64790,-59013,-60535,-75985,-53315,-52830,-16526,-19024,n.a.,324757,264812,303647,287351,306395,370050,407559,116915,113732,n.a.,68520,58639,95401,63136,59430,94972,115301,84344,80011,n.a.,54249,32821,37582,33474,29500,30081,29385,17951,11597,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-3100,-3600,-4272,-6209,-6738,-4915,n.a.,-2551,-2139
922,VERTEX ENERGY; INC.,324110,n.a.,-11868,-2774,488,-7056,-9925,-24909,-11930,4866,3648,n.a.,-13939,-6677,-4905,-10111,-13775,-23323,-5546,7879,3658,n.a.,122100,120760,84160,84305,86986,93645,133822,64546,49102,n.a.,10895,4100,1350,1106,1701,765,6017,2679,808,n.a.,23850,24797,16996,16948,22454,33994,63077,16053,10619,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-5090,-5356,-5172,-4825,-4562,-4605,-2409,-1018,-296
923,MESA LABORATORIES INC,334513,n.a.,12449,7544,13081,2183,16313,16323,15864,11785,13104,n.a.,3274,1349,7484,-2962,11183,11169,9583,9000,8450,n.a.,601475,409108,156767,164101,171733,160748,117320,97529,65919,n.a.,263865,81380,10185,5469,5820,5695,2034,5575,4006,n.a.,32583,26008,23661,17290,16567,23971,14657,10215,4662,n.a.,1648,241,0,1008,514,2240,1208,0,1145,n.a.,-3147,-2353,-2338,-2542,-2287,-1387,-981,-865,-831
924,NATIONAL RESEARCH CORP,541715,n.a.,42144,43035,35275,34219,31197,26447,28296,24806,22719,n.a.,37260,32406,30047,22943,20518,17610,18156,15484,15068,n.a.,133423,110685,108032,127316,120624,128049,129510,111088,100046,n.a.,34690,13517,12991,34733,33021,42145,40042,22092,8286,n.a.,31681,38155,47109,32310,31514,44171,27926,23782,35298,n.a.,0,366,636,0,662,701,110,92,n.a.,n.a.,-6855,-5400,-4800,-4000,-3600,-3100,-3000,-2778,-3400
925,TWIST BIOSCIENCE CORPORATION,325414,-153260,-117579,-108850,-70559,-58482,-43656,n.a.,n.a.,n.a.,n.a.,-152098,-139931,-107669,-71236,-59310,-44088,n.a.,n.a.,n.a.,n.a.,702097,398882,186994,115791,85657,76463,n.a.,n.a.,n.a.,n.a.,477863,290002,138107,80757,62204,55920,n.a.,n.a.,n.a.,n.a.,63052,36029,30354,18537,9477,8678,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-9800,-6700,-6100,-5527,-4821,-4129,n.a.,n.a.,n.a.,n.a.
926,IMMUNOGEN INC,325412,n.a.,-20893,-70740,-157756,-58203,-63055,-54455,-71531,-73009,-73257,n.a.,-44372,-104133,-168843,-96012,-78883,-60739,-71364,-72811,-73319,n.a.,355072,235262,295381,294676,198864,313823,165318,213596,180308,n.a.,293856,176225,262252,267107,159964,278109,142261,194960,160938,n.a.,122323,77410,70660,55770,55776,35810,21254,19173,16254,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2101,-4028,-7411,-5963,-3074,-5513,-4598,-4641,-4633
927,CELSIUS HOLDINGS; INC.,312111,n.a.,7911,-1448,-10641,-8080,-2845,-1827,-1530,-1422,-2429,n.a.,8524,9971,-11420,-8607,-3434,-2570,-2161,-1826,-2747,n.a.,131290,90382,34628,27111,17717,15266,4951,3030,2051,n.a.,43248,23091,7743,14187,11747,10128,349,222,109,n.a.,26365,26683,14865,6464,2322,2022,1365,1336,1035,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-456,-67,-72,-20,-17,-33,-37,-42,n.a.
928,ANIKA THERAPEUTICS INC,325412,n.a.,-28322,34248,21749,45729,50607,48134,61447,32320,22253,n.a.,-23982,27193,18722,31816,32547,30758,38319,20575,11757,n.a.,365605,330710,278993,282617,240246,235748,193996,156042,142069,n.a.,98318,184943,159014,157256,124761,138458,106906,63333,44067,n.a.,36867,16277,11289,13073,8799,17278,5973,9283,14453,n.a.,n.a.,n.a.,n.a.,n.a.,0,4198,0,770,1799,n.a.,-6285,-5000,-4910,-3300,-2700,-2700,-2613,-2679,-2497
929,LEMAITRE VASCULAR; INC.,339112,n.a.,28788,21183,28209,21103,16336,11513,6866,4518,4340,n.a.,21220,17934,22943,17177,10590,7758,3915,3202,2571,n.a.,252810,188341,153088,126323,101924,90704,81492,70492,63060,n.a.,26978,32681,47986,41660,24288,27451,18692,14711,16448,n.a.,25145,20851,19758,13189,10482,10368,10041,10220,8394,n.a.,2394,1003,2927,703,312,483,444,885,963,n.a.,-3181,-2979,-2564,-2266,-1986,-1881,-1795,-1573,-1319
930,THEMAVEN; INC.,339112,n.a.,-70708,-40591,-13795,-6349,-2184,-226,-254,-261,-251,n.a.,-104875,-38501,-44113,-6284,-2188,-197,-236,-177,568,n.a.,214204,196991,37158,6569,1288,2352,2504,2658,2809,n.a.,9034,8852,2407,619,598,2322,2475,2626,2772,n.a.,107563,87541,21536,3416,346,86,89,94,125,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,1,n.a.,-639,-277,-29,-525,0,n.a.,n.a.,n.a.,n.a.
931,SURFACE ONCOLOGY; INC.,541715,n.a.,61586,-57366,-9151,-45990,-18004,n.a.,n.a.,n.a.,n.a.,n.a.,59337,-54789,-6608,-45417,-17494,n.a.,n.a.,n.a.,n.a.,n.a.,217138,131693,174065,81454,98139,n.a.,n.a.,n.a.,n.a.,n.a.,175141,105161,158835,63309,79151,n.a.,n.a.,n.a.,n.a.,n.a.,17651,19274,27177,23384,16207,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1670,-1785,-1347,-964,-331,n.a.,n.a.,n.a.,n.a.
932,FRIEDMAN INDUSTRIES INC,331210,n.a.,15750,-6853,6401,5768,-4210,23,625,2475,9087,n.a.,11424,-5249,5100,3934,-2679,294,382,1713,6136,n.a.,95009,77344,86602,81653,63263,66890,66958,72284,76575,n.a.,8191,17058,11667,4053,1462,2797,2226,15081,15923,n.a.,29072,9645,12365,11031,2357,2866,2651,7771,12312,n.a.,1455,0,160,0,n.a.,n.a.,n.a.,n.a.,0,n.a.,-1013,-1525,-1340,-1356,-1594,-1674,-1722,-1823,-1790
