ID,Company name Latin alphabet,NAICS 2017; primary code(s),Operating P/L [=EBIT]; th USD 2021,Operating P/L [=EBIT]; th USD 2020,Operating P/L [=EBIT]; th USD 2019,Operating P/L [=EBIT]; th USD 2018,Operating P/L [=EBIT]; th USD 2017,Operating P/L [=EBIT]; th USD 2016,Operating P/L [=EBIT]; th USD 2015,Operating P/L [=EBIT]; th USD 2014,Operating P/L [=EBIT]; th USD 2013,Operating P/L [=EBIT]; th USD 2012,P/L for period [=Net income]; th USD 2021,P/L for period [=Net income]; th USD 2020,P/L for period [=Net income]; th USD 2019,P/L for period [=Net income]; th USD 2018,P/L for period [=Net income]; th USD 2017,P/L for period [=Net income]; th USD 2016,P/L for period [=Net income]; th USD 2015,P/L for period [=Net income]; th USD 2014,P/L for period [=Net income]; th USD 2013,P/L for period [=Net income]; th USD 2012,Total assets; th USD 2021,Total assets; th USD 2020,Total assets; th USD 2019,Total assets; th USD 2018,Total assets; th USD 2017,Total assets; th USD 2016,Total assets; th USD 2015,Total assets; th USD 2014,Total assets; th USD 2013,Total assets; th USD 2012,Cash & cash equivalent; th USD 2021,Cash & cash equivalent; th USD 2020,Cash & cash equivalent; th USD 2019,Cash & cash equivalent; th USD 2018,Cash & cash equivalent; th USD 2017,Cash & cash equivalent; th USD 2016,Cash & cash equivalent; th USD 2015,Cash & cash equivalent; th USD 2014,Cash & cash equivalent; th USD 2013,Cash & cash equivalent; th USD 2012,Total Liabilities and Debt; th USD 2021,Total Liabilities and Debt; th USD 2020,Total Liabilities and Debt; th USD 2019,Total Liabilities and Debt; th USD 2018,Total Liabilities and Debt; th USD 2017,Total Liabilities and Debt; th USD 2016,Total Liabilities and Debt; th USD 2015,Total Liabilities and Debt; th USD 2014,Total Liabilities and Debt; th USD 2013,Total Liabilities and Debt; th USD 2012,Total Current Liabilities; th USD 2021,Total Current Liabilities; th USD 2020,Total Current Liabilities; th USD 2019,Total Current Liabilities; th USD 2018,Total Current Liabilities; th USD 2017,Total Current Liabilities; th USD 2016,Total Current Liabilities; th USD 2015,Total Current Liabilities; th USD 2014,Total Current Liabilities; th USD 2013,Total Current Liabilities; th USD 2012,Income Tax Payable; th USD 2021,Income Tax Payable; th USD 2020,Income Tax Payable; th USD 2019,Income Tax Payable; th USD 2018,Income Tax Payable; th USD 2017,Income Tax Payable; th USD 2016,Income Tax Payable; th USD 2015,Income Tax Payable; th USD 2014,Income Tax Payable; th USD 2013,Income Tax Payable; th USD 2012,Depreciation; th USD 2021,Depreciation; th USD 2020,Depreciation; th USD 2019,Depreciation; th USD 2018,Depreciation; th USD 2017,Depreciation; th USD 2016,Depreciation; th USD 2015,Depreciation; th USD 2014,Depreciation; th USD 2013,Depreciation; th USD 2012
797.,EXTERRAN CORPORATION,333132,n.a.,-18231,-38189,77247,57298,4125,120314,120677,166656,42098,n.a.,-101291,-102377,24854,33880,-227937,26648,115292,152853,119350,n.a.,1303491,1418004,1567054,1460807,1374778,1788396,2032823,1999211,n.a.,n.a.,40318,16683,19300,49145,35678,29032,39361,35194,n.a.,n.a.,1007659,1008466,1014233,906021,818007,982460,581001,625307,n.a.,n.a.,274652,326645,457329,408518,334134,345796,472203,509945,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1377,n.a.,n.a.,-143443,-161057,-121522,-105024,-129200,-141218,-163700,-131729,-156499
798.,PERFICIENT INC,541511,n.a.,58929,56228,37816,30339,33457,36487,42409,33975,27955,n.a.,30181,37125,24559,18581,20459,23007,23163,21432,16107,n.a.,785761,640492,570544,499060,456576,474364,425363,325749,267194,n.a.,83204,70728,44984,6307,10113,8811,10935,7018,5813,n.a.,391683,259477,216860,132709,97111,125554,120635,66259,32781,n.a.,128880,84584,74823,61273,46053,56576,55063,37965,28564,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-5430,-4447,-4072,-4722,-4867,-4496,-3734,-3262,-2251
799.,MIRION TECHNOLOGIES INC,334519,11200,23000,28800,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-158300,-119100,-122000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1547200,1243800,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,101100,118400,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2388800,1962500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,188200,183500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3100,9200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-24300,-19100,-16600,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
800.,CORPORATE OFFICE PROPERTIES TRUST,531120,n.a.,160713,156082,144528,135837,52410,120094,131612,141910,89066,n.a.,97374,191692,72301,62526,-43844,96043,13645,64720,-1160,n.a.,4077023,3854453,3656005,3595205,3780885,3909312,3664236,3629952,3653759,n.a.,18369,14733,8066,12261,209863,60310,6077,54373,10594,n.a.,2415988,2175493,2070594,2193063,2257826,2364787,2212813,2204368,2288335,n.a.,242074,230946,153790,162706,169815,159081,183908,159357,154252,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-138193,-138903,-139063,-136501,-134870,-142231,-138490,-119773,-124418
801.,EMPIRE STATE REALTY TRUST; INC.,531120,n.a.,58661,154706,190857,192903,183896,151369,141321,75708,88689,n.a.,-16712,49445,65603,62647,51456,33730,26667,75245,48643,n.a.,4150695,3931834,4195780,3931347,3890953,3300650,3283497,2476061,1052553,n.a.,526714,233946,204981,464344,554371,46685,45732,60743,51499,n.a.,3065506,2674163,2949294,2755061,2728813,2767917,2806855,2090903,1063412,n.a.,153866,190323,183235,157499,175656,158067,137011,113314,77872,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-191006,-181588,-298577,-119490,-106343,-108319,-89505,-49947,-35302
802.,RBC BEARINGS INCORPORATED,332991,114320,n.a.,158773,148941,136459,110000,n.a.,90984,90567,79362,89633,n.a.,126036,105193,87141,63894,n.a.,58248,60208,56342,1434260,n.a.,1321912,1147367,1142751,1098510,n.a.,632073,620993,542442,241335,n.a.,103255,29884,54163,39208,n.a.,125455,123626,115778,204309,n.a.,203913,178801,308199,477563,n.a.,82640,82541,80247,88238,n.a.,103755,90129,105203,88317,n.a.,42018,42820,46568,2896,n.a.,2751,4789,2939,8173,n.a.,3393,3778,4285,-22527,n.a.,-21808,-19992,-19016,-16807,n.a.,-13206,-13063,-13166
803.,M/A-COM TECHNOLOGY SOLUTIONS HOLDINGS; INC.,334413,81002,4527,-360633,-96755,-11040,18913,12272,8396,11363,52167,37973,-46078,-383798,-139977,-169493,1434,48589,-15323,18196,-6280,1134145,1146428,1105574,1482495,1637123,1188551,860834,682234,316635,268073,344902,333152,176745,192897,214225,356753,161869,173895,110488,84528,662409,846282,791678,813820,859749,725767,436301,453667,69494,68615,93044,94950,74836,107005,117119,92150,71476,85646,52158,55727,n.a.,734,1233,415,4184,n.a.,n.a.,865,20,330,-23740,-28500,-29700,-30700,-27300,-20400,-15728,-32078,-10501,-9000
804.,WHEREHOUSE ENTERTAINMENT INC,443142,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
805.,JBG SMITH PROPERTIES,531120,n.a.,-38989,45596,54027,75564,119269,102597,138619,149674,n.a.,n.a.,-62303,65571,39924,-71753,61974,49628,81299,88661,n.a.,n.a.,6079547,5986251,5997285,6071807,3660640,3575878,3411198,n.a.,n.a.,n.a.,225600,126413,260553,316676,29000,74966,12018,n.a.,n.a.,n.a.,2873508,2599775,3010137,3101199,1538951,1516902,1369397,n.a.,n.a.,n.a.,161583,236538,193849,183322,40923,54092,40233,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-194190,-161937,-151346,-136559,-122612,-288787,-221001,-212167,n.a.
806.,APPLE HOSPITALITY REIT; INC.,531120,n.a.,-102040,233787,257706,211801,220251,143213,154600,85849,77232,n.a.,-173207,171917,206086,182492,144652,117288,6833,115222,75476,n.a.,4829759,4942411,4928672,4902338,4979883,3722775,3776805,1491281,1526017,n.a.,5556,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,18102,9027,n.a.,1800412,1651398,1519662,1331253,1462819,1075717,762181,179470,179884,n.a.,97860,114364,107420,109057,124856,77614,55555,16919,13101,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-199786,-193240,-183482,-176499,-148163,-127449,-113112,-54827,-52748
807.,HAWKINS; INC.,325130,n.a.,55878,41671,36818,38692,31171,n.a.,30416,28090,25330,n.a.,40980,28367,24433,22555,18143,n.a.,19214,18094,17126,n.a.,472550,389328,385599,418584,436491,n.a.,248462,237193,222148,n.a.,2998,4277,9199,6861,20014,n.a.,33124,47329,44340,n.a.,207304,155844,167738,200756,235516,n.a.,54498,54780,51976,n.a.,70462,62220,55396,55672,59765,n.a.,36343,35829,35125,n.a.,n.a.,59,n.a.,n.a.,0,n.a.,2698,4344,4000,n.a.,-16800,-16484,-16302,-14825,-13111,n.a.,-12115,-12605,-10248
808.,SABRA HEALTH CARE REIT; INC.,531120,n.a.,254166,160572,304902,195444,132128,137251,110847,85076,54322,n.a.,138417,68996,269314,148141,60034,69171,36710,25749,19513,n.a.,5985603,6069299,6665303,7032277,2265919,2468837,2064892,1173623,916882,n.a.,59076,39097,50230,518632,25663,7434,61793,4308,17101,n.a.,2576375,2580839,3414889,3599470,1250345,1415067,1123026,713459,611394,n.a.,146276,108166,90298,102523,39639,35182,31775,22229,35906,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,24212,n.a.,-166117,-163875,-175261,-102060,-68472,-122943,-43332,-33281,-30263
809.,SEMTECH CORP,334413,n.a.,74987,52849,76432,67515,60590,34525,43542,-92431,53776,n.a.,59903,31871,69639,34649,54661,11497,27947,-164466,41939,n.a.,1082102,1052433,1062780,1085776,1011542,911517,929431,948940,1171013,n.a.,268891,293324,312120,307923,297134,211810,230328,243194,228165,n.a.,383359,375479,380200,420763,406279,383466,378073,413097,476187,n.a.,109573,98641,129914,126208,122975,103887,108041,110890,157682,n.a.,n.a.,0,2105,1470,11382,8765,7597,4605,4221,n.a.,-23602,-23400,-23000,-21132,-21756,-23873,-43585,-65071,-19948
810.,MISTRAS GROUP; INC.,541330,n.a.,-97780,25360,26255,6242,18029,25186,35638,25413,38078,n.a.,-99461,6060,6836,-2175,9568,16081,22518,11646,21353,n.a.,583313,719878,694037,554441,469427,471727,443972,377997,329816,n.a.,25760,15016,25544,27541,19154,10555,10020,7802,8410,n.a.,386292,434056,423140,283822,198845,226908,201868,167944,136804,n.a.,109847,109240,100471,90225,77711,93523,86791,72216,64319,n.a.,2664,2094,1958,6069,4342,532,1854,1703,1119,n.a.,-24705,-24233,-24213,-22400,-14000,-23086,-19200,-18947,-16424
811.,INSTEEL INDUSTRIES INC,331222,89160,24439,5557,42503,34273,56580,32509,25402,18551,3547,66610,19009,5598,36266,22548,37245,21710,16641,11735,1809,390710,337902,293009,329534,283073,292892,260239,256795,212649,208552,89884,68688,38181,43941,32105,58873,33258,3050,15440,10,88672,73099,46992,87869,59697,68326,60024,77912,51593,59052,68849,53678,28413,71988,42318,53783,45826,63186,37415,36003,4014,1201,0,469,n.a.,0,2187,n.a.,n.a.,n.a.,-13600,-13200,-12500,-11518,-10449,-10344,-10878,-9836,-9833,-9762
812.,OFFICE PROPERTIES INCOME TRUST,531120,n.a.,108756,103892,50269,54318,66677,65969,71529,72102,65766,n.a.,6678,30335,-22255,11815,57843,-209961,56534,54620,49960,n.a.,3946436,4193136,5238583,3703565,2385066,2168510,2427615,1632452,1562134,n.a.,42045,93744,35349,16569,29941,8785,13791,7663,5255,n.a.,2337044,2487382,3459615,2373522,1450062,1211859,1130166,642777,534683,n.a.,122594,132189,180423,94299,57539,53429,28632,25690,22629,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-251566,-289885,-162488,-109588,-73153,-68696,-66593,-55699,-49070
813.,CANNAE HOLDINGS; INC.,722511,n.a.,-188500,-117600,-145800,-78400,-2200,-12100,-20300,-39800,-33100,n.a.,1786200,77300,27600,108800,-6000,-19500,256200,-35200,161900,n.a.,4613400,2092200,1459500,1487200,1473300,1472100,n.a.,n.a.,n.a.,n.a.,724700,534200,354400,263300,193500,309300,n.a.,n.a.,n.a.,n.a.,833800,603700,334900,427800,579800,526600,n.a.,n.a.,n.a.,n.a.,202000,198700,160000,249800,159500,159700,n.a.,n.a.,n.a.,n.a.,57300,49300,24200,800,0,n.a.,n.a.,n.a.,n.a.,n.a.,-26700,-49600,-38000,-41900,-41400,-47700,-51100,-55100,-35600
814.,ORMET CORP.,331313,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
815.,ARMSTRONG FLOORING; INC.,326199,n.a.,-61700,-58200,-15000,-12700,-12500,-14000,21800,44400,n.a.,n.a.,-63600,-58500,-163000,-41800,9200,29600,-30500,-8800,n.a.,n.a.,493500,502200,708200,890100,904400,870600,825200,n.a.,n.a.,n.a.,13700,27100,173800,40100,30600,n.a.,n.a.,n.a.,n.a.,n.a.,270900,233900,317200,340100,280900,246600,249800,n.a.,n.a.,n.a.,122100,104600,170600,151000,163400,162400,146500,n.a.,n.a.,n.a.,100,0,500,800,400,1400,300,n.a.,n.a.,n.a.,-40800,-43700,-47900,-74500,-46200,-37600,-51600,-43300,n.a.
816.,COMTECH TELECOMMUNICATIONS CORP,334220,31994,35928,44074,35075,25022,20700,34077,43898,34947,51277,-73480,7020,25041,29769,15827,-7738,23245,25151,17808,32416,993111,929647,887711,845157,832063,921196,473877,473852,681815,719778,30861,47878,45576,43484,41844,66805,150953,154500,356642,367894,492392,380348,352629,339473,351913,450795,72468,76927,277753,290377,203561,159712,145347,165316,144211,184146,64337,66188,269091,82655,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,-9379,-10561,-11927,-13655,-14354,-9830,-6525,-6721,-7837,-10205
817.,QUINSTREET INC,541613,13926,6205,10727,15636,-8223,-18874,-19177,-107978,-88819,28502,23555,18102,62480,15930,-12208,-19420,-20008,-146404,-67372,13001,449515,358407,324611,220296,174308,193102,205153,276843,429547,507160,110318,107509,62522,64700,49571,53710,60468,122807,127964,105267,154367,102463,101782,71970,56226,68350,69568,131692,150652,168803,115611,85837,83699,68032,52554,63719,48828,66244,66691,70314,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4400,-3700,-3400,-4300,-5200,-6200,-4000,-3900,-5525,-5189
818.,CBL & ASSOCIATES PROPERTIES INC,531120,n.a.,-61331,-23404,84509,237742,273954,304541,407440,359591,394999,n.a.,-332494,-153669,-123460,76048,127990,58479,174258,40312,84089,n.a.,4443740,4622346,5340853,5704808,6104640,6479991,6616299,6785971,7089736,n.a.,61781,32816,25138,32627,18951,36892,37938,65500,78248,n.a.,3911897,3816034,4376716,4564804,4875926,5195021,5209747,5381058,5761043,n.a.,167337,222804,204644,208416,253518,310251,297290,296020,358874,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-213570,-253240,-272119,-285834,-284006,-286130,-546902,-519661,-505778
819.,CATO CORP,448120,n.a.,-79249,37171,28156,10976,42249,95935,88085,81094,95305,n.a.,-47483,35897,30461,8540,47212,66842,60502,54322,61668,n.a.,591452,684976,497906,516076,606324,642344,608278,596918,532646,n.a.,143926,212211,207314,196883,248467,282552,256131,240555,188647,n.a.,344954,368462,181070,189723,222421,229679,228080,205809,187412,n.a.,181934,199302,141086,139081,171912,179437,193901,177131,159602,n.a.,2038,1703,0,680,2282,1363,14256,14855,14292,n.a.,-14681,-15485,-16463,-19643,-22716,-22963,-22026,-21825,-22455
820.,MCGRATH RENTCORP,532210,n.a.,140753,141372,117481,94740,79259,76957,85360,80250,82016,n.a.,101984,96806,79406,153920,38251,40470,45709,43397,44777,n.a.,1275744,1309875,1217316,1147854,1128276,1152549,1116407,1027611,972446,n.a.,1238,2342,1508,2501,852,1103,1167,1630,1612,n.a.,593140,675839,645781,623670,733989,772862,691876,626581,607708,n.a.,148334,109174,90844,86408,78205,71942,71357,63318,52220,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-94466,-88591,-81139,-77508,-80297,-83413,-80278,-144257,-63819
821.,KIMBALL INTERNATIONAL INC,337211,15848,62876,50412,51063,54831,40825,22225,1539,-11278,21807,7416,41054,39344,34439,37506,21156,20300,33461,19879,11634,444595,386267,364666,331460,313747,273570,265279,722146,644519,595516,24336,97092,106267,87270,98565,47576,34661,136624,103600,75197,204925,141471,148176,138436,137543,123702,123774,280613,240013,209288,115242,109321,133084,122738,120339,106875,107161,253600,214451,187740,10295,6858,4115,n.a.,2568,3142,2933,8187,3635,4193,-14511,-15107,-14803,-13701,-14700,-14210,-19216,-30893,-29719,-28900
822.,STURM RUGER & CO INC,332994,n.a.,119148,39375,67009,76349,134409,94545,54727,174570,111386,n.a.,90398,32291,50933,52142,87472,62126,38628,111272,70629,n.a.,348258,348961,335532,284318,346879,315883,254382,277118,174486,n.a.,141154,164908,152818,63487,87126,69225,8901,55064,30978,n.a.,83559,63503,71290,54169,80979,88145,68920,98032,79454,n.a.,81761,61244,71191,52677,80893,81993,60382,88166,59491,n.a.,n.a.,1223,3340,n.a.,0,4962,156,239,489,n.a.,-27284,-29024,-31672,-33964,-34755,-35935,-36006,-19662,-14288
823.,COGENT COMMUNICATIONS HOLDINGS; INC.,334614; 511210,n.a.,107345,100257,86558,75918,64629,63180,53900,46154,30968,n.a.,6216,37520,28667,5876,14929,4896,797,56689,-4251,n.a.,1000477,932124,739850,710588,737892,662816,754914,755101,606531,n.a.,371301,399422,276093,247011,274319,203591,287790,304866,247285,n.a.,1293643,1135803,888852,813132,791146,675087,671120,561609,446752,n.a.,94443,89694,75307,74526,67913,68904,60032,143694,51740,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-83477,-80247,-81233,-75926,-75235,-70527,-69481,-64358,-62478
824.,LINDSAY CORPORATION,332216,54107,54202,6115,39012,40649,34375,52495,78358,107061,65510,42572,38629,2172,20277,23179,20267,26309,51512,70570,43277,637185,570526,500314,499815,506032,487515,536468,526551,512296,415531,146711,140914,127204,160787,121620,101246,139093,171842,151927,143444,298740,272008,232105,222949,235977,235948,247908,143904,131658,104693,138240,102395,82131,80094,92037,87860,95112,116367,102092,80438,1072,3726,1469,1293,2813,4200,4034,8922,n.a.,n.a.,-12700,-11600,-11100,-12500,-12200,-12200,-11700,-10800,-9800,-9600
825.,BABCOCK & WILCOX ENTERPRISES; INC.,334513,n.a.,22990,10268,-398239,-291457,-87642,37049,-26473,210187,188484,n.a.,-10318,-121974,-725292,-379824,-115649,19141,-26528,174527,140753,n.a.,591792,626519,745497,1322229,1529143,1663045,1516554,1296469,n.a.,n.a.,57338,43772,43228,43724,95992,369188,220266,207429,n.a.,n.a.,931158,922875,1031623,1140126,976994,915337,830144,765508,n.a.,n.a.,270832,602494,711989,744327,617538,561352,488090,518477,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-11338,-19305,-25303,-29138,-23783,-34932,-32436,-23030,-23857
826.,PENUMBRA; INC.,339112,n.a.,-18642,47508,-852,1165,-1350,4179,3009,-1126,3428,n.a.,-15702,48458,6601,4657,14814,2365,-4099,4099,1958,n.a.,822983,665901,515006,476667,308254,263848,121381,71147,n.a.,n.a.,264832,189389,200889,214591,128753,148804,51543,13676,n.a.,n.a.,181485,180009,92766,76259,41707,31326,22284,22987,n.a.,n.a.,105932,91048,66062,51582,35800,28148,20823,15837,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,174,308,332,0,n.a.,n.a.,-11824,-7052,-5100,-3400,-2297,-1752,-751,-677,n.a.
827.,NEXTGEN HEALTHCARE INC,334614,n.a.,15379,7617,32259,3432,34091,7362,35956,23088,69100,n.a.,9515,7498,24494,2420,18241,5657,27332,15680,42724,n.a.,644486,720116,532895,515755,473221,530790,460521,445058,443055,n.a.,73295,138012,33079,28845,37673,36473,130585,113801,118011,n.a.,212842,319622,156949,192345,168178,261413,176981,149968,136006,n.a.,180633,143218,128232,134592,128694,138060,155084,123886,127029,n.a.,584,148,64,73,405,91,10048,0,1480,n.a.,-7997,-8172,-10298,-10498,-10080,-8834,-9323,-8069,-6928
828.,ONTO INNOVATION INC.,333242,n.a.,26677,-5043,66487,42806,29095,6353,-9454,-19969,5478,n.a.,31025,1910,57648,30202,44035,2905,-31118,-14146,4465,n.a.,1468172,1448580,375630,309699,287830,235540,223236,262834,259454,n.a.,373722,320236,151792,117029,129961,83085,83962,92862,109908,n.a.,203426,184554,62778,47316,44056,48212,43699,55461,43683,n.a.,120091,85743,59773,44095,42026,45211,38202,48957,30727,n.a.,4109,2783,3164,2680,813,1771,1017,758,424,n.a.,-13832,-5965,-6600,-6700,-6800,-6935,-6624,-5453,-4812
829.,FIESTA RESTAURANT GROUP; INC.,722511,n.a.,-8439,-68904,6949,-41110,27219,62471,59367,47506,36980,n.a.,-10211,-84386,7787,-36232,16712,38536,36176,9257,8267,n.a.,568743,568641,418659,423313,441565,415645,357956,318785,303729,n.a.,50035,13413,5258,3599,4196,5281,5087,10978,15533,n.a.,420962,410405,178600,191797,177390,171663,158369,160479,293225,n.a.,64909,63620,46561,59844,46769,46305,39423,38087,41278,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,287,n.a.,-38206,-39195,-37604,-34957,-36776,-30575,-23047,-20375,-18278
830.,LANDEC CORP,311991,5888,-21252,8775,13587,17248,-20628,18461,20190,24868,14577,-32665,-38191,411,24829,10590,-11641,13544,19145,22587,12696,502924,541313,519091,404703,358608,342653,346465,313623,290942,277692,1295,360,1080,2899,5409,9894,14127,14243,15263,22177,300140,310269,248947,152141,131999,131925,128033,110554,112249,127950,101888,164388,137091,88375,51454,56341,56159,48391,50753,66684,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1229,n.a.,n.a.,n.a.,-17867,-16344,-13730,-11412,-9777,-9395,-7090,-7114,-7295,-5621
831.,KIRKLAND'S; INC.,442299,n.a.,8287,-53041,4881,9352,16999,26191,28641,23992,21528,n.a.,16639,-53265,3780,5296,11046,16573,17814,14530,13795,n.a.,387112,422442,277148,299197,270146,235256,260487,235448,209236,n.a.,100337,30132,57946,80156,63937,44352,99138,89050,67797,n.a.,292190,345487,146348,158436,136333,115561,109425,100219,91361,n.a.,137600,141440,86536,96940,74441,59495,57380,52647,44003,n.a.,n.a.,n.a.,701,4943,6273,4863,5648,5875,1352,n.a.,-23256,-27720,-29453,-27150,-25322,-22182,-18639,-15947,-13175
832.,MOTORCAR PARTS OF AMERICA; INC.,336320,n.a.,30171,34939,17549,51586,70658,39063,32552,31262,34314,n.a.,21476,-7290,-7849,19264,38735,10563,11453,107359,-91511,n.a.,847882,777029,632362,552427,436139,413372,420881,318853,364969,n.a.,17175,50466,13184,15877,11169,23710,61929,25120,19757,n.a.,546737,501509,352607,265547,187458,202564,230678,209217,368483,n.a.,326131,318492,279354,197268,142782,131383,115061,103189,219648,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,196,n.a.,137,n.a.,n.a.,-8002,-7791,-6135,-3798,-3101,-2315,-1851,-2003,-3114
833.,SAREPTA THERAPEUTICS; INC.,325412,n.a.,-564163,-695563,-343628,-143211,-266730,-220184,-133775,-89484,-29518,n.a.,-554128,-715075,-361918,-50688,-267265,-220030,-135789,-111985,-121287,n.a.,2984718,1822822,1642075,1307964,424104,273782,295033,291569,204993,n.a.,1938571,1124748,1173912,1079060,317845,192491,210344,256965,187661,n.a.,2222959,1004635,609799,518747,87413,83435,47380,44377,81314,n.a.,416026,264767,173690,88332,75422,62294,36867,35966,78886,n.a.,n.a.,n.a.,301,943,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-25649,-29698,-11380,-7039,-5011,-4747,-3200,-877,-975
834.,HOOKER FURNISHINGS CORP,337121,n.a.,-14364,22707,53175,46254,39801,24262,19048,12503,12940,n.a.,-10426,17083,39873,28250,25287,16185,12578,7929,8626,n.a.,352273,393708,369716,350058,318696,181653,170755,155481,155823,n.a.,65841,36031,11435,30915,39792,53922,38663,23882,26342,n.a.,94770,119587,106540,120598,120769,25592,27846,20678,24778,n.a.,54110,50129,64415,60329,64060,16605,19067,12907,17467,n.a.,501,0,3159,3711,4323,357,1368,n.a.,n.a.,n.a.,-4400,-4716,-5000,-4563,-4866,-2946,-2599,-2067,-2033
835.,QTS REALTY TRUST; INC.,531120,n.a.,69997,76346,59347,53187,48963,47265,37590,26104,19703,n.a.,-12274,3111,-21126,1282,21525,20326,15072,3002,-9767,n.a.,3898572,3223533,2861969,2415056,2086470,1747339,1106559,831356,685443,n.a.,22775,15653,11759,8243,9580,8804,10788,5210,8232,n.a.,2422398,1885716,1667983,1537642,1252002,1129384,803851,516389,563764,n.a.,284648,241463,128799,135652,105763,111302,75312,72169,523792,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-199889,-168305,-149891,-140924,-124786,-85811,-58282,-47358,-34932
836.,INTER PARFUMS INC,325620,n.a.,70083,104727,94731,78623,66678,61203,53403,78754,79576,n.a.,38219,60249,53793,41594,33331,30437,29436,39211,131136,n.a.,890145,828832,799167,777772,682409,687659,604506,664058,759920,n.a.,296308,253131,261006,278242,256030,259814,280290,307327,307335,n.a.,354310,360828,351560,344474,312018,322072,222441,256847,378444,n.a.,156205,184465,186977,167107,142238,131083,103628,126147,256140,n.a.,5297,5865,4396,1722,3331,7359,3773,1270,84030,n.a.,-3800,-3729,-4100,-5914,-3700,-3300,-3600,-4910,-8600
